"1st Test. 79.6: R Ashwin to S O'Keefe (0), 4 runs, 264/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"FIND, CATCH AND APPEAL - @Wriddhipops @stevesmith49 #INDvAUS https://t.co/nTIWPlgTih"
"RT @VVSLaxman281: Congrats Team India on a fabulous,scintillating win👏Loved the determination,fight&amp;agression of each and every player👌Keep…"
Match underway in Bengaluru and this could be the perfect time to watch @MClarke23's Day 2 preview https://t.co/xMYQEQTCtb #INDvAUS
"3rd Test. 189.3: S O'Keefe to C Pujara (195), 4 runs, 509/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 20.3: WICKET! S Smith (28) is out, lbw Umesh Yadav, 74/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Stumps on Day 2 of the 2nd Test, Australia 237/6, lead India (189) by 48 runs #INDvAUS https://t.co/Rwvs5VLd3m"
"3rd Test. 55.4: R Jadeja to S Marsh (34), 4 runs, 117/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
He plays more than 500 deliveries over two days and @cheteshwar1 smiles like he's hardly broken a sweat #champion… https://t.co/DialOPlJjW
"#TeamIndia finish Day 2 on 120/1 (Vijay 42*, Pujara 10*), trail Australia (451) by 331 runs #INDvAUS https://t.co/PT5z3wUBTr"
"3rd Test. 96.5: R Ashwin to M Wade (5), 4 runs, 196/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 36.3: U Yadav to M Renshaw (33), 4 runs, 76/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 58.6: I Sharma to S Smith (80), 4 runs, 194/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 99.2: R Jadeja to P Handscomb (72), 4 runs, 204/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Snapped - @BrettLee_58 and captain @imVkohli early this morning #INDvAUS @Paytm Test Cricket https://t.co/NiOM6SLXaz
"1st Test. 1.2: N Lyon to M Vijay (0), 4 runs, 5/0 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 120.1: S O'Keefe to W Saha (8), 4 runs, 343/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"Innings Break! India all out for  274, lead Australia (276) by 187 runs #INDvAUS https://t.co/ivJThsIjnp"
3rd Test ton for @Wriddhipops and 3rd double ton for @cheteshwar1 #INDvAUS https://t.co/L25dc8kU5P
"Test No. 50: ✔️
","50 in 50th Test: ✔️
",Congratulations @mvj888 #TeamIndia #IndvAus https://t.co/L5wig3pQQT
"3rd Test. 71.1: J Hazlewood to C Pujara (44), 4 runs, 197/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
#TeamIndia Playing XI for the 3rd @Paytm Test in Ranchi #INDvAUS https://t.co/C4HSubEhD6
"3rd Test. 106.3: U Yadav to M Wade (10), 4 runs, 354/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"3rd Test. 209.6: P Cummins to R Jadeja (54), 4 runs, 603/9 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 38.1: WICKET! R Jadeja (2) is out, b Josh Hazlewood, 120/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 55.6: R Ashwin to S Smith (74), 4 runs, 184/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
#OnThisDay in 2001 @VVSLaxman281 and Rahul Dravid scripted a historic Test comeback ever at the Eden Gardens in Kol… https://t.co/BQfaPxOlFS
"3rd Test. 79.5: N Lyon to C Pujara (58), 4 runs, 217/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 32.6: U Yadav to M Renshaw (28), 4 runs, 70/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 94.1: S O'Keefe to K Nair (4), 4 runs, 285/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 124.3: R Ashwin to S O'Keefe (10), 4 runs, 420/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 80.2: M Starc to A Rahane (50), 4 runs, 228/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"AUS XI: D Warner, M Renshaw, S Smith, S Marsh, P Handscomb, M Marsh, M Wade, M Starc, S O'Keefe, N Lyon, J Hazlewood"
"3rd Test. 28.4: WICKET! M Renshaw (15) is out, lbw Ishant Sharma, 59/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"RT @RJohri: Absolutely Brilliant, totally dependable Congratulations @cheteshwar1 @BCCI #Ausvsind"
RT @ajinkyarahane88: Special day! Special feeling. We are a family @ashwinravi99 @imVkohli @klrahul11 @cheteshwar1 @BCCI https://t.co/8sRBG…
"3rd Test. 119.4: P Cummins to C Pujara (121), 4 runs, 337/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 16.2: WICKET! V Kohli (13) is out, b Steve O'Keefe, 47/3 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
VIDEO: @imVkohli receives the Polly Umrigar Award https://t.co/Y6lk34KCo6 #NAMAN #BCCIawards
Preparations on in full swing. #TeamIndia sweat it out at the nets in  the build up to the second Test in Bengaluru… https://t.co/JMzitsKAgf
"3rd Test. 8.6: U Yadav to S Smith (6), 4 runs, 30/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 5.5: R Ashwin to S Smith (4), 4 runs, 27/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 73.2: R Ashwin to P Handscomb (10), 4 runs, 149/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 2.6: M Starc to A Mukund (6), 4 runs, 19/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @parthiv9: This is how it is done..well played India...@BCCI @anilkumble1074
"2nd Test. 75.1: R Ashwin to S Marsh (35), 4 runs, 160/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
#TeamIndia head coach @anilkumble1074 inspects the pitch #INDvAUS https://t.co/rTysd00efB
3rd Test. It's all over! Match drawn https://t.co/d3NMQQCro5 #IndvAus @Paytm
Day ✌🏻️thoughts? 🤔 #INDvAUS @Paytm Test Cricket https://t.co/wqPcwl22oO
"At Lunch on Day 1 of the 3rd @Paytm Test, Australia -109/3 (Smith 34*, Renshaw 44). Follow the game here -… https://t.co/Wu9L44FMAN"
"2nd Test. 16.1: I Sharma to D Warner (27), 4 runs, 44/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
3rd Test. Australia win the toss and elect to Bat https://t.co/d3NMQQCro5 #IndvAus @Paytm
"3rd Test. 29.1: WICKET! S Smith (21) is out, b Ravindra Jadeja, 63/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 199.2: J Hazlewood to R Jadeja (20), 4 runs, 555/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Day 4! #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/mIlMCum1Qt
Time to grab them all on Day 5 #INDvAUS #TeamIndia @Paytm Test cricket https://t.co/DXmqnwL7eY
"2nd Test. 64.5: S O'Keefe to A Rahane (38), 4 runs, 198/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
'You hit - I catch' in beautiful slow-mo #TeamIndia #INDvAUS https://t.co/CBHCaseq2V
"2nd Test. 39.4: N Lyon to A Rahane (7), 4 runs, 104/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 4.5: WICKET! M Vijay (2) is out, lbw Steve O'Keefe, 10/1 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"35.2: WICKET! P Handscomb (24) is out, c Wriddhiman Saha b Ravichandran Ashwin, 110/9"
"1st Test. 33.1: N Lyon to J Yadav (5), 4 runs, 107/9 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"2nd Test. 86.1: M Starc to W Saha (4), 4 runs, 250/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
WHACK WHACK BOOM! @mvj888 on the ball! #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/tOvPS8iK5K
VIDEO: A day off watching the sunset and trekking the mountains. #TeamIndia spend some quality time off the field https://t.co/dnMiMtMwGz
#BCCIawards - All-rounder @ashwinravi99 wins the Dilip Sardesai Award. He becomes the first cricketer to receive th… https://t.co/t9gdsrzWZW
Just for laughs. How's that for a pitch report ;) @sanjaymanjrekar at it #INDvAUS @Paytm Test Cricket https://t.co/lhCiMOJyzJ
RT @RaviShastriOfc: Brilliant initiative by the @BCCI to get school kids to witness Test Cricket throughout the home season #INDvAUS https:…
Did you like the Commentators’ take on #IshantGameFace Challenge? Send us your videos and pics to @BCCI with… https://t.co/2u2f12qz56
And we are off! Bengaluru are you ready? #INDvAUS #TeamIndia https://t.co/rbxH8F3x66
